expedient;identificador;descripcio_contracte;data_adj;estat_licitacio;organ_contractacio;CPV;valor_estimat;link;metode_cerca;time_download;downloaded_documents;error_download;comment;downloaded documents
2023/03284;14290530;Suministro de material de osteosíntesis para extremidad superior con destino a la OSI Araba;;Resuelta;Director Gerente;"33184100;";5367708,0;https://www.contratacion.euskadi.eus/webkpe00-kpeperfi/es/contenidos/anuncio_contratacion/exposakisap2023003284/es_doc/index.html;CPV prefix 33:  | Keywords: osteosintesis;14,49;1;;;0
SAS_CGI_2024_PA/33;14295750;Suministro de suturas mecánicas;24/10/2024 0:00;Adjudicada;Centro de Gestion Integrada y Proyectos Corporativos;"33140000;";42897374,93;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=7WZMbKIxHLw7u6%2B%2FR7DUoA%3D%3D;Proveïdor: A28218675;91,15;13;;;0
037-2023-0441;14296001;Suministro de implantes quirúrgicos (material de osteosíntesis, implantes biológicos y soluciones neurorreparadoras) para cirugías en el Area de Control Hospitalario de MUTUA UNIVERSAL en Barcelona;03/05/2024 0:00;Resuelta;Mutua Universal Mugenat, Mutua Colaboradora con la Seguridad Social nº 10;"33184100;";894600,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=UMt%2ByeeNK7CcCF8sV%2BqtYA%3D%3D;CPV prefix 33:  | Keywords: osteosintesis;84,74;5;;Cap document extret d'enllaços interiors;0
HIL/2024/01/0004 ;14313478;Establecimiento de un Acuerdo Marco para la homologación de suministradores de PRODUCTOS DE OSTEOSÍNTESIS para región anatómica MANO y MUÑECA.;17/05/2024 0:00;Adjudicada;Gerencia del Hospital Intermutual de Levante;"33141770;33184000;33141750;33184100;33140000;";800327,31;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2FLEW%2BefsJtVVYjgxA4nMUw%3D%3D;CPV prefix 33:  | Keywords: osteosintesis, CPV: 33141770, 33184000, Proveïdor: A28218675;50,81;10;;;0
CP00174/2023;14326433;Suministro de material de osteosíntesis específico para EEII para los Hospitales de ASEPEYO, Mutua colaboradora con la Seguridad Social nº 151.;13/05/2024 0:00;Resuelta;Subdirección General Sanitaria de ASEPEYO. Mutua Colaboradora con la Seguridad Social. num. 151;"33184100;";4245586,89;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=aogyK02f7Jvs%2BnLj3vAg5A%3D%3D;CPV prefix 33:  | Keywords: osteosintesis, Proveïdor: A28218675;201,5;16;;;0
OBE 24/054;14329583;Subministrament d’implants i malles quirúrgiques amb destí a la Fundació de Gestió Sanitària de l’Hospital de la Santa Creu i Sant Pau;19/07/2024 10:15;Resuelta;Fundació de Gestió Sanitària de l'Hospital de la Santa Creu i Sant Pau;"33184100;";1691339,7;https://contractaciopublica.cat/ca/detall-publicacio/966eaefc-0dc0-43aa-938c-593e00bbd33a/300233904;Proveïdor: A28218675;95,38;9;"Sense secció ""Exec""";;0
P.A. 15/2024 HUP;14377671;Suministro de material sanitario desechable para quirófano y UCI;;Resuelta;Hospital Universitario de La Princesa;"33696500;33141200;33140000;";3871256,89;https://contratos-publicos.comunidad.madrid/contrato-publico/material-sanitario-desechable-quirofano-uci;Proveïdor: A28218675;151,86;48;;;0
PA HUPA 16/24;14414993;Suministro de Prótesis para el Servicio de Otorrinolaringología;;Resuelta;Hospital Universitario Príncipe de Asturias;"33184000;";1663942,55;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-protesis-servicio-otorrinolaringologia-hospital-universitario-principe;CPV: 33184000;33,62;11;;;0
CSC M 8/23;14451153;Acord Marc del Subministrament de SUTURES MANUALS;15/11/2024 8:56;Resuelta;Consorci de Salut i d'Atenció Social de Catalunya;"33141121;";4557771,68;https://contractaciopublica.cat/ca/detall-publicacio/794b8fb4-cf6e-46cc-b9d6-36bb2f3dc00f/300333844;Proveïdor: A28218675;27,83;16;;;0
SAS_Z2_2024_PA_32;14465626;Material Sanitario e Implantes, para Cirugía Plástica, del Hospital Universitario “Miguel Servet” de Zaragoza.;22/06/2024 0:00;Resuelta;Gerencia Sector Sanitario de Zaragoza 2;"33184400;";1098111,37;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=5VbrP1JJZ%2BkzjChw4z%2FXvw%3D%3D;Proveïdor: A28218675;70,08;8;;Cap document extret d'enllaços interiors;0
CONTR 2024 0000085766;14468841;cádiz. contrato basado en el  acuerdo marco con varias empresas por el que se fijan las condiciones para el suministro de suturas manuales con destino a los centros sanitarios del servicio andaluz de salud. expte.37/2022, con la mercantil johnson & johnson,s.a;;Resuelta;Servicio Andaluz de Salud;"33141121;";70123,78;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=638024;Proveïdor: A28218675;24,3;1;;;0
P.A.S. 2023-5-59.;14481774;Suministro de material fungible electrofisiología;;Resuelta;Hospital Universitario La Paz;"33140000;";129154,75;https://contratos-publicos.comunidad.madrid/contrato-publico/pas-2023-5-59-suministro-material-fungible-electrofisiologia;Proveïdor: A28218675;23,19;5;;;0
CS/CC00/1101381633/24/AM;14481817;Subministrament agregat d'Implants mamaris, expansors cutanis, mesuradors mamaris i material per a micropigmentació per als centres del Institut Català de la Salut i centres adherits: Hospital de Berga;06/08/2024 12:49;Resuelta;Institut Català de la Salut (ICS);"33184400;";2828252,28;https://contractaciopublica.cat/ca/detall-publicacio/379e4597-545c-43e1-8d36-21a90444d516/300239154;Proveïdor: A28218675;39,07;6;"Sense secció ""Exec""";;0
CS/AH06/1101366640/24/PNSP;14490315;Subministrament d’implants maxil·lofacial i cranioplàstia per al Servei de Maxil.lo i Neurocirurgia de l’Hospital Universitari Arnau de Vilanova de Lleida.;05/03/2024 7:56;Resuelta;Institut Català de la Salut (ICS);"33140000;";186231,15;https://contractaciopublica.cat/ca/detall-publicacio/c9bd4252-5555-4913-b73a-c441668f5427/300092431;Proveïdor: A28218675;42,8;3;Alguns documents no s'han pogut descarregar (2 error(s));;0
0220/25;14526439;Compra de material per laparoscòpia per a diversos serveis de l’Hospital Universitari Sant Joan de Reus. En concret, el material objecte de compra és 1) Aplicador automàtic de clips per a cirurgia laparoscópica, 2) Pinces de segellat i tall per ultrasons, 3) Agulles d’insuflació, 4)Cartutxos de clips de polímer per a cirurgia laparòscopica/oberta.;27/12/2024 14:46;Adjudicada;Salut Sant Joan de Reus - Baix Camp;"33141120;33140000;";255188,56;https://contractaciopublica.cat/ca/detall-publicacio/271f2e00-5bf5-473a-a0cd-9dca08a32d9f/300339790;Proveïdor: A28218675;84,14;17;"Sense secció ""Exec""";;0
24SM0081P;14550265;Subministrament d'implants maxil·lofacial i implant cranial IPS per a l'àmbit de Cirurgia del Consorci Corporació Sanitària Parc Taulí;26/06/2024 13:20;Resuelta;Consorci Corporació Sanitària Parc Taulí de Sabadell;"33184100;33184000;";669460,48;https://contractaciopublica.cat/ca/detall-publicacio/acdbe24c-3b85-47b5-9b4f-25e6a6633397/300219085;CPV: 33184000;66,24;10;"Sense secció ""Exec""";;0
CES-0823-19;14550302;"L’objecte del contracte és el subministrament de plaques i reactius per a la realització de cribratges d'alt rendiment que
utilitzen Dianthus Pico com a lector per tal de donar suport a les activitats de descobriment de fàrmacs i química biològica realitzades a la Drug Screening Platform de l'IRB Barcelona.";;Resuelta;Fundació Institut de Recerca Biomèdica (IRB Barcelona);"33696500;";50000,0;https://contractaciopublica.cat/ca/detall-publicacio/ff32620c-b9b1-4584-97e3-b8e3f62502a6/300066084;CPV prefix 33:  | Keywords: plaques;22,95;0;"Sense seccions ""Adjudica"" o ""Formali"" o ""Exec""; No s'han trobat documents a descarregar";;0
CP00057/2024;14555627;Suministro de material osteosíntesis para fx de pilón tibial tipo EVOS® o similar para los Hospitales de Sant Cugat, Coslada y el Hospital de día Sevilla-Cartuja de ASEPEYO;25/04/2024 0:00;Resuelta;Subdirección General Sanitaria de ASEPEYO. Mutua Colaboradora con la Seguridad Social. num. 151;"33184100;";90183,54;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2FuopFHYJMn0Xhk1FZxEyvw%3D%3D;CPV prefix 33:  | Keywords: osteosintesis;19,39;1;;;0
24SM0117P;14610167;Fils de sutura;10/07/2024 14:48;Resuelta;Consorci Corporació Sanitària Parc Taulí de Sabadell;"33141121;";152962,99;https://contractaciopublica.cat/ca/detall-publicacio/82af8ffe-746b-4d8d-9a0c-5aed6b60a1e1/300228054;Proveïdor: A28218675;86,23;14;Alguns documents no s'han pogut descarregar (4 error(s));;0
CSC M 11/23;14631299;Acord Marc del subministrament de pròtesis de colze, genoll i ciments;;Resuelta;Consorci de Salut i d'Atenció Social de Catalunya;"33184000;";14236446,4;https://contractaciopublica.cat/ca/detall-publicacio/346906b0-8ece-4b2a-8319-6d758df8beff/300122970;CPV: 33184000;22,95;0;"Sense seccions ""Adjudica"" o ""Formali"" o ""Exec""; No s'han trobat documents a descarregar";;0
HIL/2024/01/0027;14632490;Suministro de productos de suturas para el Hospital Intermutual de Levante;24/09/2024 0:00;Resuelta;Gerencia del Hospital Intermutual de Levante;"33141121;33141125;33141128;";489451,59;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=q5rTvJMnuteopEMYCmrbmw%3D%3D;Proveïdor: A28218675;65,6;8;;;0
CONTR 2024 0000058502;14635865;cbam_am037-2022 johnson;;Resuelta;Servicio Andaluz de Salud;"33141121;";18244,42;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=625737;Proveïdor: A28218675;14,37;1;;;0
CONTR 2024 0000058502-1;14635866;2º cbam_am4002/2022 johnson & johnson;;Resuelta;Servicio Andaluz de Salud;"33141121;";14003,0;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=649308;Proveïdor: A28218675;14,92;1;;;0
2024-0-013 (A/SUM-009572/2024);14635884;Adquisición de implantes de artroplastia parcial de cadera para el Hospital Universitario Infanta Leonor;;Resuelta;Hospital Universitario Infanta Leonor;"33183100;";440660,22;https://contratos-publicos.comunidad.madrid/contrato-publico/adquisicion-implantes-artroplastia-parcial-cadera-hospital-universitario-infanta;Proveïdor: A28218675;49,22;17;;;0
CP00072/2024;14640895;Suministro de material de osteosíntesis de extremidad superior para los Hospitales de ASEPEYO de Sant Cugat, Coslada y Hospital de Día Cartuja;16/05/2024 0:00;Resuelta;Subdirección General Sanitaria de ASEPEYO. Mutua Colaboradora con la Seguridad Social. num. 151;"33184100;";58575,84;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=OlcV3CnQ4K07u6%2B%2FR7DUoA%3D%3D;CPV prefix 33:  | Keywords: osteosintesis;23,08;1;;;0
P.A. 2024-0-14;14676616;Suministro suturas manuales;;Adjudicada;Hospital Universitario La Paz;"33140000;";1691664,85;https://contratos-publicos.comunidad.madrid/contrato-publico/pa-2024-0-14-suministro-suturas-manuales;Proveïdor: A28218675;29,32;7;;;0
P.A. 2024-0-18;14717906;"Suministro de material de implantes de neurointervencionismo&nbsp;";;Resuelta;Hospital Universitario La Paz;"33184100;";453648300,0;https://contratos-publicos.comunidad.madrid/contrato-publico/pa-2024-0-18-suministro-material-implantes-neurointervencionismo-hospital;Proveïdor: A28218675;56,36;19;;;0
LICT/99/139/2023/0161;14725871;Contratación del suministro de sistema para reinserción de bíceps distal, para artroscopia de mano y muñeca -sistemas de anclaje-, para solución salina fisiológica y para osteosíntesis pelvis con destino a los Hospitales de FREMAP, Mutua Colaboradora con la Seguridad Social nº 61.;18/07/2024 0:00;Resuelta;Director Gerente de FREMAP;"33169000;33141000;33184100;";2185974,15;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=ISdjdYF71xZ%2FR5QFTlaM4A%3D%3D;CPV prefix 33:  | Keywords: osteosintesis;71,57;12;;;0
PIC2024_30538;14735357;Contratación del suministro de elementos de osteosíntesis y otro material complementario para reparación de articulaciones con destino al HOSPITAL FRATERNIDAD-MUPRESPA HABANA;02/10/2024 0:00;Resuelta;Gerencia de Fraternidad Muprespa - Mútua Colaboradora con la Seguridad Social nº 275;"33183300;33184100;";2674100,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=cInKcCu2uOlPpzdqOdhuWg%3D%3D;CPV prefix 33:  | Keywords: osteosintesis, CPV: 33183300;126,0;12;;;0
GCASU2400014;14769594;Suministro de material fungible para la realización de artroscopia;;Resuelta;Hospital Universitario Infanta Sofía;"33184000;";304790,2;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-material-fungible-realizacion-artroscopia-hospital-universitario;CPV: 33184000;32,02;10;;;0
CS/9999/1101123653/2024/PA;14774890;Suministro de Terminales Monopolares, bisturís, curetas dermatológicas, mangos y placas electrobisturí;11/06/2025 0:00;Adjudicada;Servicio Murciano de Salud - Junta de Compras;"33140000;";3044101,5;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=0u%2BbWA8lVGGIzo3LHNPGcQ%3D%3D;CPV prefix 33:  | Keywords: placas;56,56;8;;Cap document extret d'enllaços interiors;0
PIC2024_31134;14774893;Contratación del suministro de elementos de osteosíntesis de columna para el HOSPITAL FRATERNIDAD-MUPRESPA HABANA;13/11/2024 0:00;Adjudicada;Gerencia de Fraternidad Muprespa - Mútua Colaboradora con la Seguridad Social nº 275;"33183300;33184100;";852180,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=p7XOUPi6%2FhBt5r0ngvMetA%3D%3D;CPV prefix 33:  | Keywords: osteosintesis;70,12;6;;;0
PIC2024_31134;14774893;Contratación del suministro de elementos de osteosíntesis de columna para el HOSPITAL FRATERNIDAD-MUPRESPA HABANA;13/11/2024 0:00;Resuelta;Gerencia de Fraternidad Muprespa - Mútua Colaboradora con la Seguridad Social nº 275;"33183300;33184100;";852180,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=p7XOUPi6%2FhBt5r0ngvMetA%3D%3D;CPV: 33183300;70,12;6;;;0
CONTR 2023 0000240892;14802960;málaga cca +6.6-uggd3 cbam240/2022 bolton scientific iberica suministro de material sanitario de endoprótesis y espiral para neurorradiologia con destino a los centros sanitarios de la provincia de málaga, pertenecientes al servicio andaluz de salud.;;Resuelta;Servicio Andaluz de Salud;"33184000;";26180,0;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=551275;CPV: 33184000;14,86;1;;;0
CONTR 2023 0000240910;14802961;"(c.c.a.: +6.6-uggd3). cbam 240/2022. suministro de material sanitario de endoprótesis y espiral para neurorradiología con destino a los centros sanitarios de la provincia de_x000D_
málaga, pertenecientes al servicio andaluz de salud";;Resuelta;Servicio Andaluz de Salud;"33184000;";103000,0;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=541858;CPV: 33184000;13,98;1;;;0
CP00084/2024;14808364;Placas de osteotomía tibial alta para las intervenciones realizadas en los hospitales de Coslada, Sant Cugat y Cartuja;31/05/2024 0:00;Resuelta;Subdirección General Sanitaria de ASEPEYO. Mutua Colaboradora con la Seguridad Social. num. 151;"33184100;";52177,65;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=8mJ678nrS9zkY6rls5tG9A%3D%3D;CPV prefix 33:  | Keywords: placas;20,07;1;;;0
CONTR 2023 0000240933 2;14812501;(c.c.a.: +6.6-uggd3).cbam 240/2022.suministro de material sanitario de endoprótesis y espiral para neurorradiología con destino a los centros sanitarios de la provincia de málaga, pertenecientes al servicio andaluz de salud;;Resuelta;Servicio Andaluz de Salud;"33184000;";108000,0;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=541959;CPV: 33184000;14,22;1;;;0
CONTR 2023 0000240918;14812502;(c.c.a.: +6.6-uggd3).cbam 240/2022 izasa hospital.suministro de material sanitario de endoprótesis y espiral para neurorradiología con destino a los centros sanitarios de la provincia de málaga, pertenecientes al servicio andaluz de salud;;Resuelta;Servicio Andaluz de Salud;"33184000;";174400,0;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=541948;CPV: 33184000;14,68;1;;;0
SAS_Z3_2024_PNSP_029;14870762;Prótesis angiología y cirugía vascular  ;06/05/2024 0:00;Resuelta;Gerencia Sector Sanitario de Zaragoza 3;"33184000;";161976,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=pXCSGYv0KUI7%2B9FIQYNjeQ%3D%3D;CPV: 33184000;15,09;1;;;0
CS/AH05/1101375877/24/PNSP;14882887;Subministrament  de material de neurocirurgia per plàsties cranials;08/05/2024 11:28;Resuelta;Institut Català de la Salut (ICS);"33141770;";74771,8;https://contractaciopublica.cat/ca/detall-publicacio/a85b803d-33c1-4b3c-9dc2-9af2fea31d2e/300138420;CPV: 33141770;39,77;3;Alguns documents no s'han pogut descarregar (1 error(s));;0
CSC M 7/24;14882974;Acord Marc del subministrament de Pròtesis de Genoll, Colze i Ciments;23/01/2025 14:16;Resuelta;Consorci de Salut i d'Atenció Social de Catalunya;"33184000;";17158574,4;https://contractaciopublica.cat/ca/detall-publicacio/294a6aaf-81be-4cd4-891a-a2ac6fa07dfd/300382691;CPV: 33184000, Proveïdor: A28218675;39,4;17;"Sense secció ""Exec""";;0
2024/LIC/0046;14886321;Suministro de material de osteosíntesis para extremidad superior;12/06/2024 0:00;Resuelta;Director Gerente de Mutua Intercomarcal MATEPSS Nº 39;"33183300;";113431,88;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=ZWmCm6p44NqS81gZFETWmA%3D%3D;CPV prefix 33:  | Keywords: osteosintesis, CPV: 33183300;41,75;6;;;0
PNE/120/2023/2003;14886576;Suministro de instrumentos quirúrgicos HARMONIC / ENSEAL para el Generador G11 (GEN11) instalado en el Complejo Asistencial Universitario de Burgos;25/06/2024 0:00;Resuelta;Gerencia de Atención Especializada de Burgos;"33140000;";1014759,9;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=mjVLxBpKdF%2FECtSnloz%2BZQ%3D%3D;Proveïdor: A28218675;38,8;5;;;0
24SM0287;14888207;MOTORS COT (cirurgia ortopèdica i traumatologia);12/06/2024 11:31;Resuelta;Consorci Corporació Sanitària Parc Taulí de Sabadell;"33162100;";97251,86;https://contractaciopublica.cat/ca/detall-publicacio/88712ca9-70b8-45d0-9a82-e953041e47c0/300178863;Proveïdor: A28218675;73,85;12;"Sense secció ""Exec""";;0
CS/AH05/1101378060/24/PNSP;14888249;Subministrament  de complements coadjuvants d’osteosíntesi per radi distal;09/05/2024 8:49;Resuelta;Institut Català de la Salut (ICS);"33141770;";145341,12;https://contractaciopublica.cat/ca/detall-publicacio/9ddc30b5-2e94-4a01-b24c-320366de2fe5/300139136;CPV prefix 33:  | Keywords: osteosintesi, CPV: 33141770;39,98;3;Alguns documents no s'han pogut descarregar (1 error(s));;0
2024000014;14937044;Suministro de catéteres, microcatéteres, microguías e introductores, para el Servicio de Radiología Neurológica del Hospital Universitario Ramón y Cajal;;Resuelta;Hospital Universitario Ramón y Cajal;"33141200;";1209696,0;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-cateteres-microcateteres-microguias-e-introductores-servicio-radiologia;Proveïdor: A28218675;34,09;10;;;0
Acuerdo Marco P.A. 2024-0-5;14937055;Suministro de implantes: prótesis mamarias y expansores de tejido.;;Adjudicada;Hospital Universitario La Paz;"33184100;";408428,62;https://contratos-publicos.comunidad.madrid/contrato-publico/acuerdo-marco-pa-2024-0-5-suministro-implantes-protesis-mamarias-expansores-tejido;Proveïdor: A28218675;27,47;8;;;0
P.A. 2024-0-5(A.M.);14937055;Suministro de implantes: prótesis mamarias y expansores de tejido.;;Resuelta;Hospital Universitario La Paz;"33184100;";408428,62;https://contratos-publicos.comunidad.madrid/contrato-publico/pa-2024-0-5-am-suministro-implantes-protesis-mamarias-expansores-tejido-hospital;Proveïdor: A28218675;24,96;8;;;0
16/2024/2004 (SAT, 2020014605);14943155;Suministro de Suturas Mecánicas con destino a la Gerencia de Atención Especializada de Miranda de Ebro: Hospital Santiago Apóstol;17/05/2024 0:00;Resuelta;Gerencia de Atención Especializada de Miranda de Ebro;"33141121;";195164,4;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=EYh2SK%2FjyGcXhk1FZxEyvw%3D%3D;Proveïdor: A28218675;223,49;15;;;0
HIL/2023/01/F/0016-11;14982376;Suministro de UNA (1) PRENSA DOBLADORA DE PLACAS (producto sanitario de osteosíntesis) específica para grandes fragmento;23/05/2024 0:00;Adjudicada;Gerencia del Hospital Intermutual de Levante;"33000000;33162000;";2604,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=J1qM%2B4qRKLw2wEhQbcAqug%3D%3D;CPV prefix 33:  | Keywords: osteosintesis, placas;18,46;2;;Cap document extret d'enllaços interiors;0
SAS_Z3_2024_PNSP_023;14989513;Suministro de material sanitario general diverso para osteosíntesis;20/05/2024 0:00;Resuelta;Gerencia Sector Sanitario de Zaragoza 3;"33100000;33141000;";887144,68;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=2HhrZjLrWrvzAq95uGTrDQ%3D%3D;CPV prefix 33:  | Keywords: osteosintesis;304,88;4;;;0
CSI2023098;15000078;Subministrament d'implants d'osteosintesi per reducció oberta extramedular de fémur i radi-cúbit-húmer-tibia- peroné-clavícula i instrumental auxiliar associat pels centres del Consorci Sanitari Integral;31/01/2025 8:08;Resuelta;Consorci Sanitari Integral;"33184100;";2260289,52;https://contractaciopublica.cat/ca/detall-publicacio/2d03be02-bcde-47b2-bfab-b7132adc261b/300388402;CPV prefix 33:  | Keywords: osteosintesi, Proveïdor: A28218675;70,15;7;"Sense secció ""Exec""";;0
LICT/99/139/2023/0235;15008580;Contratación del suministro de Implantes Quirúrgicos para Cirugías de Miembro Superior y Miembro Inferior para los Hospitales de FREMAP, Mutua Colaboradora con la Seguridad Social nº 61.;16/08/2024 0:00;Resuelta;Director Gerente de FREMAP;"33184100;";11667879,43;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=mA43wF%2B%2Bj6SkU02jNGj1Fw%3D%3D;Proveïdor: A28218675;130,4;13;;;0
CS/AH01/1101392860/24/PSS;15035309;Subministrament de claus endomedul·lars, cargols i taps per a procediments reconstructius no aguts en pacients amb alt risc d’infecció per a l’Hospital Universitari Vall d’Hebron.;14/06/2024 10:46;Resuelta;Institut Català de la Salut (ICS);"33141770;";41978,0;https://contractaciopublica.cat/ca/detall-publicacio/93d7cca7-4140-4b37-bc19-f3589273fedf/300173581;CPV: 33141770;35,89;1;"Sense secció ""Exec""";;0
CS/AH01/1101393500/24/PSS;15043339;Subministrament d’instrumental específic per a la implantació de plaques d’osteosíntesi per a húmer proximal per a l’Hospital Universitari Vall d’Hebron.;04/10/2024 10:12;Resuelta;Institut Català de la Salut (ICS);"33183300;";59857,5;https://contractaciopublica.cat/ca/detall-publicacio/56b0e50f-9924-4dcd-9dd6-f6f098f4e3fe/300261883;CPV prefix 33:  | Keywords: osteosintesi, plaques, CPV: 33183300;39,16;2;"Sense secció ""Exec""";;0
EXP 2021-40;15047859;Acuerdo Marco para el suministro de material fungible para investigación sanitaria y actividad asistencial (5 Lotes) (Subrogación);28/02/2023 0:00;Resuelta;Junta de Gobierno de la Fundación de Oftalmología Médica de la Comunitat Valenciana;"33000000;33730000;33141120;33141320;33141420;33162200;33193225;33731000;18141000;30192000;31711140;33141119;33141641;24455000;33124130;33141220;33141410;18142000;33141000;33141110;33141112;33680000;33141411;33199000;33122000;33141625;33741000;18424300;33198000;33141310;33191000;33198200;33695000;18143000;24316000;";3322824,41;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=g%2FPLjPJGBBQl5NjlNci%2BtA%3D%3D;Proveïdor: A28218675;4014,01;352;;;0
SCS-2024-482;15063865;Instrumental quirúrgic complementari per a les especialitats de traumatologia, oftalmologia i laparoscòpia, destinat al nou Hospital de Viladecans (FEDER).;12/11/2024 9:36;Resuelta;Servei Català de la Salut (CatSalut);"33169000;";70075,0;https://contractaciopublica.cat/ca/detall-publicacio/6e19339e-129d-43c0-bf8f-7cba306621ad/300309422;Proveïdor: A28218675;68,93;9;;;0
SAS_Z3_2024_PA_038;15070301;Implantes para Hemodinámica;23/08/2024 0:00;Resuelta;Gerencia Sector Sanitario de Zaragoza 3;"33184000;";2941673,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=VINirLVMxhBq1DdmE7eaXg%3D%3D;CPV: 33184000;133,03;22;;;0
CS/AH01/1101392989/24/PSS;15073918;Subministrament de manegots d’isquèmia de diverses mides per a l’Hospital Universitari Vall d’Hebron.;31/07/2024 13:04;Resuelta;Institut Català de la Salut (ICS);"33141770;";48369,75;https://contractaciopublica.cat/ca/detall-publicacio/0f8e4e50-4f01-421f-9615-4a5fbf70c35c/300216896;CPV: 33141770;36,23;2;"Sense secció ""Formali""; Alguns documents no s'han pogut descarregar (2 error(s))";;0
PcPG/2024/822776;15073973;EN La-ASF1-24-005.   La adjudicación de uno Acuerdo Marco para él suministro sucesivo de sistemas de prótesis total de rodilla con destino a los centros hospitalarios de él Servicio Gallego de Salud.;;Resuelta;Consellería de Sanidade  - SERGAS;"33184100;";0,0;https://www.contratosdegalicia.gal/licitacion?N=822776;Proveïdor: A28218675;12,11;0;No s’han descarregat tots els documents possible CAPTCHA robot a Galicia;;0
2024/LIC/0069;15078767;Suministro de material de osteosíntesis para artroscopia de muñeca;01/07/2024 0:00;Resuelta;Director Gerente de Mutua Intercomarcal MATEPSS Nº 39;"33183300;";30515,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=LRFSSef9eNnua%2Fi14w%2FPLA%3D%3D;CPV prefix 33:  | Keywords: osteosintesis, CPV: 33183300;30,06;4;;Cap document extret d'enllaços interiors;0
HIL/2024/01/0005;15078791;ACUERDO MARCO para la homologación de proveedores que llevarán a cabo las sucesivas adquisiciones, mediante contratos basados, de IMPLANTES ARTROSCÓPICOS Y FIJACIÓN ÓSEA, PRÓTESIS ARTICULARES Y PRODUCTOS DE OSTEOSÍNTESIS, con destino al Servicio de Quirófano del Hospital Intermutual de Levante.;07/11/2024 0:00;Resuelta;Gerencia del Hospital Intermutual de Levante;"33140000;33184100;33141770;33184000;33141750;";13975483,59;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=bAVxzDKJ6RAIYE3ZiZ%2BxmQ%3D%3D;CPV: 33141770, 33184000, Proveïdor: A28218675;80,41;14;;;0
